"codigo_ocorrencia";"codigo_ocorrencia_tipo"
45331;1
45332;2
45333;3
45334;4
45390;5
45391;3
45392;6
45393;7
45393;2
45396;8
45397;3
45399;3
45400;9
45401;3
45405;10
45407;2
45408;6
45409;6
45410;2
45412;11
45413;12
45414;8
45414;3
45415;2
45417;13
45447;3
45466;14
45469;15
45470;10
45487;3
45490;16
45522;2
45523;3
45524;7
45524;2
45525;3
45526;12
45527;6
45528;17
45564;3
45569;3
45570;6
45571;18
45572;6
45573;19
45579;12
45580;12
45582;8
45582;7
45584;14
45585;12
45586;12
45587;2
45588;20
45589;21
45589;6
45594;3
45596;6
45597;8
45597;7
45598;2
45599;8
45600;3
45601;22
45604;22
45609;23
45610;24
45611;25
45612;2
45618;3
45619;6
45624;26
45625;4
45647;19
45651;3
45652;6
45653;2
45654;8
45654;7
45656;8
45658;4
45667;3
45668;27
45669;28
45670;29
45671;3
45677;10
45678;18
45680;10
45681;23
45682;22
45684;27
45685;30
45686;23
45689;22
45691;23
45692;23
45693;18
45694;4
45695;31
45696;24
45697;18
45698;32
45699;31
45700;20
45701;29
45703;4
45705;4
45706;8
45707;4
45709;23
45710;18
45711;24
45712;3
45713;24
45714;18
45715;18
45718;4
45719;2
45727;29
45728;20
45729;2
45729;25
45730;7
45730;2
45731;3
45732;6
45733;8
45734;3
45746;6
45747;14
45748;8
45749;8
45750;6
45751;2
45751;25
45752;7
45752;2
45753;7
45753;13
45754;7
45754;2
45755;2
45756;29
45757;6
45759;18
45773;4
45774;8
45775;4
45776;3
45777;33
45778;4
45779;12
45780;34
45781;18
45783;29
45784;20
45785;35
45786;4
45789;36
45790;4
45791;3
45792;23
45793;4
45794;20
45795;37
45796;31
45797;2
45798;2
45799;3
45800;8
45801;38
45802;18
45803;29
45804;3
45819;3
45820;12
45821;12
45822;3
45829;12
45830;2
45831;2
45833;3
45834;18
45835;2
45841;29
45842;39
45843;22
45844;26
45845;32
45849;2
45850;29
45853;15
45854;8
45856;40
45857;6
45859;8
45860;29
45861;11
45862;9
45864;27
45865;11
45866;12
45867;12
45887;8
45889;2
45890;11
45891;8
45892;3
45894;12
45895;24
45897;18
45898;8
45899;2
45900;12
45901;29
45902;6
45903;22
45904;4
45912;2
45913;3
45914;2
45915;2
45916;22
45917;29
45918;29
45927;8
45928;41
45929;25
45931;8
45932;8
45932;7
45933;3
45934;29
45935;2
45936;3
45937;25
45938;25
45939;6
45941;3
45942;8
45943;29
45944;13
45945;8
45946;23
45947;11
45948;4
45949;4
45950;2
45951;37
45952;3
45959;22
45960;4
45964;23
45972;4
45973;28
45980;29
45981;31
45982;22
45983;3
45985;18
45989;18
46019;4
46022;23
46024;7
46024;2
46026;42
46029;11
46032;22
46036;29
46038;7
46038;2
46042;3
46043;8
46043;7
46045;17
46046;4
46048;4
46048;7
46049;12
46052;3
46053;22
46055;43
46056;18
46067;27
46068;29
46069;12
46070;24
46072;2
46073;3
46092;44
46093;17
46094;7
46094;2
46095;6
46096;4
46098;3
46105;29
46106;32
46109;29
46110;18
46111;29
46116;3
46117;29
46152;45
46153;6
46154;8
46155;22
46156;2
46157;26
46158;2
46159;8
46160;11
46161;3
46170;19
46171;18
46172;17
46173;3
46178;2
46179;2
46180;36
46181;25
46187;15
46188;2
46189;23
46190;29
46191;23
46192;4
46193;24
46194;22
46195;23
46196;40
46197;2
46198;2
46199;17
46200;3
46201;8
46202;45
